sample_id	run_id	hapmap_id	population	sex
NA20508.1.M_111124_2	ERR188021	NA20508	TSI	female
NA12812.1.M_111124_4	ERR188022	NA12812	CEU	male
HG00315.2.M_111215_5	ERR188023	HG00315	FIN	female
NA12749.1.M_111124_2	ERR188024	NA12749	CEU	female
HG00377.2.M_120131_2	ERR188025	HG00377	FIN	female
NA20510.3.M_120202_3	ERR188026	NA20510	TSI	male
NA07056.1.M_111124_3	ERR188027	NA07056	CEU	female
HG00155.1.M_111124_2	ERR188028	HG00155	GBR	male
HG00355.2.M_111215_6	ERR188029	HG00355	FIN	female
NA19119.3.M_120202_4	ERR188030	NA19119	YRI	male
HG00350.3.M_120202_3	ERR188031	HG00350	FIN	female
NA12275.7.M_120219_5	ERR188032	NA12275	CEU	female
HG00336.1.M_120209_2	ERR188033	HG00336	FIN	male
HG00273.3.M_120202_7	ERR188034	HG00273	FIN	male
HG00123.4.M_120208_7	ERR188035	HG00123	GBR	female
HG00236.5.M_120131_5	ERR188036	HG00236	GBR	female
NA19236.4.M_120208_1	ERR188037	NA19236	YRI	male
HG00345.1.M_120209_1	ERR188038	HG00345	FIN	male
NA12144.4.M_120208_1	ERR188039	NA12144	CEU	male
HG00096.1.M_111124_6	ERR188040	HG00096	GBR	male
HG00157.5.M_120131_3	ERR188041	HG00157	GBR	male
NA19204.1.M_111124_6	ERR188042	NA19204	YRI	female
HG00384.2.M_111216_4	ERR188043	HG00384	FIN	female
NA18498.2.M_120131_1	ERR188044	NA18498	YRI	male
HG00321.2.M_111216_2	ERR188045	HG00321	FIN	male
HG00320.1.M_111124_1	ERR188046	HG00320	FIN	female
NA06994.2.M_111215_7	ERR188047	NA06994	CEU	male
NA12489.1.M_111124_2	ERR188048	NA12489	CEU	female
NA11931.1.M_111124_8	ERR188049	NA11931	CEU	female
NA20518.4.M_120208_3	ERR188050	NA20518	TSI	male
NA12830.1.M_111124_2	ERR188051	NA12830	CEU	female
NA20541.1.M_111124_4	ERR188052	NA20541	TSI	female
HG00242.3.M_120202_7	ERR188053	HG00242	GBR	male
NA20752.5.M_120131_7	ERR188054	NA20752	TSI	male
NA19171.1.M_111124_7	ERR188055	NA19171	YRI	male
HG00331.7.M_120219_8	ERR188056	HG00331	FIN	female
HG00262.2.M_111215_8	ERR188057	HG00262	GBR	female
NA12005.4.M_120208_1	ERR188058	NA12005	CEU	male
HG00125.1.M_111124_6	ERR188059	HG00125	GBR	female
