GSMid	SRAid	group
GSM896815	SRR445730	embryonic
GSM896816	SRR445731	embryonic
GSM922224	SRR491039	embryonic
GSM922225	SRR491040	embryonic
GSM922226	SRR491041	embryonic
GSM922227	SRR491042	embryonic
GSM922228	SRR491043	embryonic
GSM922230	SRR491045	embryonic
GSM922250	SRR491065	embryonic
GSM922251	SRR491066	embryonic
GSM922252	SRR491067	embryonic
GSM922253	SRR491068	embryonic
GSM922254	SRR491069	embryonic
GSM922255	SRR491070	embryonic
GSM922256	SRR491071	embryonic
GSM922257	SRR491072	embryonic
GSM922258	SRR491073	embryonic
GSM922259	SRR491074	embryonic
GSM922260	SRR491075	embryonic
GSM922261	SRR491076	embryonic
GSM922262	SRR491077	embryonic
GSM922263	SRR491078	embryonic
GSM922264	SRR491079	embryonic
GSM922265	SRR491080	embryonic
GSM922266	SRR491081	embryonic
GSM922267	SRR491082	embryonic
GSM922268	SRR491083	embryonic
GSM922269	SRR491084	embryonic
GSM922270	SRR491085	embryonic
GSM922271	SRR491086	embryonic
GSM922272	SRR491087	embryonic
GSM922273	SRR491088	embryonic
GSM922274	SRR491089	embryonic
GSM922275	SRR491090	embryonic
GSM922146	SRR490961	blastomere
GSM922147	SRR490962	blastomere
GSM922148	SRR490963	blastomere
GSM922149	SRR490964	blastomere
GSM922150	SRR490965	blastomere
GSM922151	SRR490966	blastomere
GSM922152	SRR490967	blastomere
GSM922153	SRR490968	blastomere
GSM922154	SRR490969	blastomere
GSM922155	SRR490970	blastomere
GSM922156	SRR490971	blastomere
GSM922157	SRR490972	blastomere
GSM922158	SRR490973	blastomere
GSM922159	SRR490974	blastomere
GSM922160	SRR490975	blastomere
GSM922161	SRR490976	blastomere
GSM922162	SRR490977	blastomere
GSM922163	SRR490978	blastomere
GSM922164	SRR490979	blastomere
GSM922165	SRR490980	blastomere
GSM922166	SRR490981	blastomere
GSM922167	SRR490982	blastomere
GSM922168	SRR490983	blastomere
GSM922169	SRR490984	blastomere
GSM922170	SRR490985	blastomere
GSM922171	SRR490986	blastomere
GSM922172	SRR490987	blastomere
GSM922173	SRR490988	blastomere
GSM922174	SRR490989	blastomere
GSM922175	SRR490990	blastomere
GSM922176	SRR490991	blastomere
GSM922177	SRR490992	blastomere
GSM922178	SRR490993	blastomere
GSM922179	SRR490994	blastomere
GSM922180	SRR490995	blastomere
GSM922181	SRR490996	blastomere
GSM922182	SRR490997	blastomere
GSM922183	SRR490998	blastomere
GSM922184	SRR490999	blastomere
GSM922185	SRR491000	blastomere
GSM922186	SRR491001	blastomere
GSM922187	SRR491002	blastomere
GSM922188	SRR491003	blastomere
GSM922189	SRR491004	blastomere
GSM922190	SRR491005	blastomere
GSM922191	SRR491006	blastomere
GSM922192	SRR491007	blastomere
GSM922193	SRR491008	blastomere
GSM922194	SRR491009	blastomere
GSM922195	SRR491010	blastomere
GSM922196	SRR491011	blastomere
GSM922197	SRR491012	blastomere
GSM922198	SRR491013	blastomere
GSM922199	SRR491014	blastomere
GSM922200	SRR491015	blastomere
GSM922201	SRR491016	blastomere
GSM922202	SRR491017	blastomere
GSM922203	SRR491018	blastomere
GSM922204	SRR491019	blastomere
GSM922205	SRR491020	blastomere
GSM922206	SRR491021	blastomere
GSM922207	SRR491022	blastomere
GSM922208	SRR491023	blastomere
GSM922209	SRR491024	blastomere
GSM922210	SRR491025	blastomere
GSM922211	SRR491026	blastomere
GSM922212	SRR491027	blastomere
GSM922213	SRR491028	blastomere
GSM922214	SRR491029	blastomere
GSM922215	SRR491030	blastomere
GSM922216	SRR491031	blastomere
GSM922217	SRR491032	blastomere
GSM922218	SRR491033	blastomere
GSM922219	SRR491034	blastomere
GSM922220	SRR491035	blastomere
GSM922221	SRR491036	blastomere
GSM922222	SRR491037	blastomere
GSM922223	SRR491038	blastomere
