ids	Cell Type	Developmental Stage	Anatomical Site	
GSM896815	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM896816	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922224	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922225	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922226	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922227	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922228	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922230	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922250	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922251	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922252	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922253	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922254	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922255	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922256	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922257	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922258	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922259	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922260	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922261	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922262	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922263	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922264	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922265	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922266	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922267	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
GSM922268	human embryonic stem cell	peri-implantation stem cells	human embryonic stem cell line	
