jobid	node	walltime	systime	memory	memunit	status
NA20828_accepted_hits.bam_cufflinks.sh	compute-0-48.local	2.3175	2.7	6.795	G	0
NA20803_accepted_hits.bam_cufflinks.sh	compute-0-46.local	3.04555555556	3.61666666667	7.648	G	0
NA20797_accepted_hits.bam_cufflinks.sh	compute-0-46.local	3.17333333333	1.35	8.933	G	0
NA20810_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.01166666667	2.46666666667	6.387	G	0
NA20814_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.70888888889	3.11666666667	6.736	G	0
NA20819_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.39805555556	1.98333333333	6.780	G	0
NA20826_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.3425	3.08333333333	6.278	G	0
NA20796_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.74333333333	4.06666666667	7.947	G	0
NA20815_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.33055555556	2.71666666667	6.134	G	0
NA20816_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.26972222222	2.9	6.247	G	0
NA20811_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.55111111111	2.93333333333	6.843	G	0
NA20807_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.67527777778	4.61666666667	6.429	G	0
NA20812_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.40638888889	3.0	6.678	G	0
NA20800_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.23138888889	3.63333333333	8.088	G	0
NA20765_accepted_hits.bam_cufflinks.sh	compute-0-46.local	3.5125	3.5	8.060	G	0
NA20799_accepted_hits.bam_cufflinks.sh	compute-0-48.local	2.20527777778	3.56666666667	7.379	G	0
NA20808_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.46027777778	3.83333333333	6.065	G	0
NA20813_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.14083333333	3.6	6.058	G	0
NA20809_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.26444444444	3.1	5.762	G	0
NA20801_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.83638888889	3.65	6.605	G	0
NA20802_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.71805555556	3.68333333333	6.439	G	0
NA20804_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.51694444444	2.65	6.579	G	0
NA20795_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.96194444444	3.61666666667	6.501	G	0
NA20806_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.955833333333	3.16666666667	5.895	G	0
NA20787_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.85055555556	3.73333333333	6.587	G	0
NA20758_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.96361111111	2.2	9.584	G	0
NA20541_accepted_hits.bam_cufflinks.sh	compute-0-45.local	4.07416666667	2.13333333333	9.266	G	0
NA20772_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.3	3.11666666667	6.640	G	0
NA20805_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.872222222222	2.48333333333	5.768	G	0
NA20790_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.46916666667	3.11666666667	7.285	G	0
NA20792_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.34527777778	3.61666666667	6.174	G	0
NA20798_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.1075	3.08333333333	5.821	G	0
NA20786_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.42388888889	2.46666666667	6.871	G	0
NA20798_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.946388888889	2.86666666667	5.781	G	0
