sample	time
NA12005	4.33
NA19189_2	4.04694444444
NA19131	8.80666666667
HG00244	7.53805555556
HG00182	8.58638888889
HG00360	4.38111111111
NA20771_2	3.74694444444
NA12762_2	4.91138888889
NA18868	5.35972222222
NA20521	5.54361111111
HG00238	6.5325
HG00367	7.25777777778
NA20769	4.62444444444
HG00128	6.11694444444
NA20518_2	4.08333333333
NA12829_2	3.08194444444
HG00154	6.50916666667
HG00243	4.95888888889
HG00185	6.31138888889
HG00369	6.96944444444
NA07347_2	4.81444444444
NA20802	5.79611111111
NA20528	6.56638888889
HG00126	7.26222222222
NA18861	3.60194444444
HG00231	7.7075
NA19144	4.62361111111
HG00315	7.93027777778
NA19159_2	3.92777777778
NA12154	5.63277777778
NA19138	4.15611111111
NA20585	3.82166666667
NA12004_2	3.38055555556
HG00312	11.3547222222
NA07048	5.05444444444
NA20582	5.42083333333
NA20760	4.68527777778
NA10847	5.72388888889
NA20805	3.34222222222
NA19095_7	4.06
HG00121	3.90805555556
HG02215	6.15166666667
NA19143	6.47277777778
HG00236	6.32777777778
NA19185_2	4.03527777778
NA11829	3.8675
NA19143_2	3.73222222222
HG00378_2	5.05916666667
NA18505	3.25722222222
HG00327	4.22222222222
NA06989	3.81805555556
NA12093	5.95444444444
NA11995	5.11305555556
HG00114	3.70444444444
NA20783	5.76638888889
NA11992	4.22055555556
NA12383	5.24138888889
NA12045	4.39833333333
NA20752	5.81833333333
NA19171	7.97166666667
NA12489	6.05555555556
NA18502	10.7566666667
HG00183_2	4.0725
HG00320	6.16611111111
NA07037_2	3.87194444444
NA11992_2	4.08611111111
HG00111_2	4.67722222222
HG00278	4.60722222222
NA18488_2	3.45388888889
HG00383	6.40166666667
NA12889	8.78888888889
NA12286_2	3.62361111111
NA18858_2	4.38444444444
NA20513	4.82583333333
NA19225_2	5.51944444444
NA11931	4.70833333333
HG00276	8.06944444444
HG00355_2	6.31777777778
NA18934_2	4.95194444444
NA19214	5.54972222222
HG00329	5.23861111111
HG00271	8.55861111111
HG00277_2	3.54055555556
HG00355_5	5.82138888889
NA19213	7.84861111111
HG00384	8.30333333333
HG00355	7.83722222222
NA20514	5.62027777778
HG00177	5.40138888889
NA12763_2	3.23916666667
NA12144_2	3.92611111111
HG00260	6.43055555556
HG00338	9.06194444444
NA20505	7.06638888889
HG00321_2	2.76388888889
NA20538_2	3.39666666667
NA19175_2	4.22638888889
HG00344	5.85416666667
NA20502	4.91194444444
HG00343	7.11638888889
NA20828	8.76944444444
HG00267	5.18111111111
NA11920	5.34027777778
NA12750	5.99
HG00102	4.7225
NA19160	3.95666666667
NA19213_2	4.785
NA20792	4.71277777778
NA20826	5.07888888889
HG00269	4.78305555556
NA07346_2	2.68833333333
HG00331	7.08722222222
NA19095	7.46666666667
HG00179	5.73444444444
NA19116_2	4.34555555556
NA18502_2	2.93722222222
HG00336	5.35444444444
NA19092	6.94666666667
NA18923_2	3.69333333333
HG00105	8.75555555556
NA20527_7	7.66277777778
NA20795	7.4475
NA20542	3.70555555556
HG00131_2	4.02333333333
NA19152	5.52611111111
HG00130	6.99305555556
NA20814	7.16861111111
NA19209_2	4.52805555556
NA20771	5.42527777778
HG00137	4.70916666667
NA12775_2	3.68083333333
NA18870	4.56333333333
NA20539	5.5725
NA19184	6.65111111111
NA20813	5.29722222222
NA10851	3.96388888889
NA12717	6.27444444444
NA18489_2	3.23083333333
HG00378	7.28277777778
NA12400	4.86972222222
NA12872	6.63555555556
NA19129	4.86861111111
NA11843	5.65527777778
NA12283	5.16083333333
NA11892	4.74222222222
NA19247_2	4.20944444444
HG00117_8	6.20694444444
NA11831	7.48472222222
NA20537	4.14083333333
HG00139	7.85694444444
NA20778	2.01333333333
HG00376	6.91138888889
NA07347	8.07416666667
HG00252	5.31916666667
NA12287_2	3.41222222222
HG00145	5.33805555556
NA06986_3	5.39388888889
NA12813_2	3.15111111111
HG00117_6	4.07416666667
NA12716_2	4.19361111111
HG00255	6.6975
HG00142	5.12888888889
HG00375_2	4.98333333333
HG00284	5.92472222222
NA06986_4	5.59638888889
NA19121_2	5.05833333333
NA12762	5.17555555556
NA11840_2	3.0225
NA12234_2	3.47972222222
NA20530	7.34305555556
NA12413_2	2.6725
HG00371	5.78527777778
HG00328	6.69805555556
NA19138_2	3.19333333333
HG00355_4	6.35138888889
NA06986	6.76555555556
NA18861_2	16.7905555556
NA20515	7.97777777778
HG00382	4.56972222222
HG00353	5.90277777778
NA19119_2	3.72166666667
NA20512	4.49222222222
HG00105_2	4.74416666667
NA11930	4.75388888889
HG00355_3	5.96388888889
HG00277	4.375
NA19102	5.10805555556
NA12760_2	3.54444444444
NA20773_2	3.60444444444
HG00160	3.28583333333
HG00109_2	4.77444444444
NA11993	5.61722222222
NA12044	4.99777777778
HG00112	5.27472222222
HG00321	5.85027777778
NA12749	5.15888888889
HG00326	6.06805555556
NA12827_2	3.05555555556
NA20785	5.95833333333
NA12006_2	3.5475
NA19210_2	3.35888888889
NA11994	7.85833333333
NA20754	4.01333333333
NA12043	5.90333333333
HG01334	7.8975
NA07000	6.04388888889
HG00115	4.94694444444
HG00313	4.94972222222
NA19160_2	4.59055555556
NA11893_2	3.29388888889
NA20761	6.72833333333
NA20804	4.60666666667
NA18867	6.32805555556
HG00120	3.14694444444
NA20765_2	5.54638888889
NA19095_6	4.91777777778
NA20798_2	4.4375
NA12275_2	3.07583333333
NA12776_2	2.92055555556
HG00237	7.53166666667
NA12873_2	2.85361111111
NA20766	6.73138888889
HG00315_2	2.95194444444
NA20803	9.13305555556
HG00127	7.91916666667
NA20529	5.70333333333
NA19141_2	5.12055555556
NA12155	3.62694444444
NA20768	6.13361111111
HG00366	5.16222222222
NA20527	8.45805555556
HG00129	4.59972222222
NA12546	3.41888888889
NA19206_2	3.83527777778
NA12775	9.22083333333
NA11843_2	3.69833333333
HG00155	4.67138888889
NA07357	4.98111111111
HG00242	4.49861111111
NA19137	6.06277777778
NA12004	4.17833333333
NA18486_2	3.60888888889
HG00152	10.7191666667
NA19130	6.02055555556
HG00245	5.47111111111
HG00183	6.34583333333
NA19248_2	3.53111111111
HG00361	7.23388888889
NA18517_2	3.18916666667
NA20520	3.41722222222
NA19095_8	4.4
HG00338_2	2.9075
HG00239	7.38861111111
NA19121	4.8925
HG00143	5.92277777778
NA19236	4.27861111111
NA07056	5.40472222222
NA06986_5	3.91194444444
HG00285	5.23444444444
NA12763	6.92027777778
NA20531	5.175
NA12340_2	3.74361111111
NA11830	4.85694444444
HG00138	5.47888888889
NA20536	5.13555555556
NA12718	7.18555555556
NA12761_2	3.53333333333
HG00377	7.76222222222
HG00253	5.23416666667
NA07346	5.65694444444
NA12045_2	3.47166666667
NA12546_2	3.40527777778
NA07051	6.15472222222
HG00282	5.535
NA06986_2	6.44333333333
NA19118_2	4.34138888889
HG00117_7	5.51611111111
HG00099_2	4.32722222222
NA20538	3.59194444444
HG00136	5.44944444444
NA19185	5.26805555556
NA20812	5.31055555556
NA19114_2	4.28222222222
NA12716	12.9483333333
HG00379	7.47555555556
NA12873	6.43444444444
NA12144	4.72805555556
NA12282	3.59472222222
NA11893	7.50611111111
NA20544	4.5725
NA11894	5.3375
NA20543	5.48861111111
NA18520	4.65055555556
NA19153	7.45666666667
HG00131	6.68305555556
NA20815	5.98055555556
NA20770	3.22361111111
NA12874	4.67944444444
HG00178	5.55083333333
NA12872_2	3.89611111111
NA12777_2	3.35027777778
HG00337	4.83555555556
NA20543_2	4.16222222222
HG00104	7.13
NA20527_6	4.90472222222
NA12890	5.25472222222
HG00103	4.75388888889
HG00133_2	6.31805555556
NA12342	5.23833333333
HG00268	5.96666666667
HG00330	5.08472222222
NA19207_2	2.90777777778
NA20503	4.36527777778
HG00377_2	3.96
HG00342	6.62611111111
NA18916_2	4.32361111111
NA18912	8.5625
NA19204	5.48972222222
HG00171	3.33194444444
HG00266	6.31333333333
NA19113	3.44694444444
NA12751	6.70694444444
HG00176	5.47388888889
NA19190_2	4.21833333333
NA19114	6.05888888889
HG00261	5.09361111111
HG00339	5.35777777778
NA20504	4.73472222222
NA18487_2	4.47722222222
NA20527_8	6.88444444444
NA19093_2	3.76527777778
HG00345	5.13861111111
NA19159	15.5477777778
NA20535	5.43194444444
NA18907_2	4.07305555556
HG00250	4.38638888889
NA10847_2	3.73916666667
HG00281	5.66916666667
HG00117_4	4.60722222222
NA12400_2	3.36138888889
HG00308	4.06916666667
HG00257	4.96805555556
NA06986_6	5.69944444444
NA19235	6.03833333333
HG00117_3	6.39444444444
NA12760	3.15861111111
HG00328_2	3.63416666667
NA19113_2	3.99472222222
NA20532	4.76277777778
NA18923	6.26861111111
HG00373	7.97333333333
NA12286	5.85222222222
HG00259	11.0838888889
NA06986_8	4.49555555556
NA20540	4.58
NA19150	5.17888888889
NA19247	7.89333333333
HG00132	7.56277777778
NA20816	5.95416666667
NA20773	4.35444444444
NA12842_2	3.40472222222
HG00135	3.85083333333
NA20754_2	3.25777777778
NA20811	5.99083333333
NA20774	4.42194444444
HG00149	6.36972222222
NA11830_2	4.48361111111
HG00306	6.19944444444
NA12058_2	4.72055555556
HG00100	4.5975
NA18511_2	3.50833333333
NA19197_2	5.37722222222
HG01791	6.59888888889
NA20527_2	7.60194444444
NA12341	6.65333333333
NA20790	5.54111111111
NA19209	4.61916666667
NA18498	7.41527777778
HG00119_2	4.72416666667
NA18511	10.5002777778
NA12282_2	3.74944444444
NA19119	3.52083333333
NA19200_2	4.58944444444
HG00334	5.61277777778
NA20509	12.9088888889
NA10851_2	3.05638888889
NA20527_5	5.85916666667
NA12842	5.49472222222
HG00138_2	5.60111111111
NA20797	7.6125
NA19200	6.81
NA06994	6.84277777778
NA12751_2	3.86888888889
HG00262	6.94166666667
NA19117	7.03
NA12830	3.57444444444
HG00134_2	4.26472222222
NA20507	5.755
HG00109	4.94305555556
HG00313_2	3.79388888889
HG00346	7.78694444444
NA12399	3.00416666667
NA18916	7.71916666667
NA12348	3.245
NA20799	6.77055555556
NA12058	6.41666666667
HG00341	5.25194444444
NA19207	5.28972222222
HG00265	5.615
NA19099	6.91527777778
HG00381	2.77027777778
HG00350	3.40666666667
HG00096	5.60277777778
NA18858	6.27138888889
HG00274	6.07083333333
NA18487	4.78333333333
HG00273	3.44972222222
HG00355_7	7.23972222222
NA06985	5.92805555556
NA18907	4.83388888889
NA20759	4.33527777778
HG01789	5.84972222222
NA19236_2	3.98972222222
HG00118	6.11138888889
NA20516	5.46666666667
NA12043_2	3.79138888889
HG00325	6.94083333333
NA19108	9.21
HG00325_2	3.14
NA12273	6.49388888889
NA18909	5.69611111111
NA20786	6.16777777778
NA20757	6.1625
HG00359	5.94722222222
NA20518	5.32555555556
HG00116	5.89555555556
NA11831_2	4.91777777778
NA19150_2	4.35888888889
HG00111	6.54055555556
NA12843_2	2.78277777778
NA18489	5.28972222222
NA12413	7.56916666667
NA20765	8.69555555556
NA07051_2	3.31527777778
NA20800	8.09777777778
NA19197	6.29083333333
NA12283_2	2.91777777778
NA19095_2	5.92083333333
HG00124	5.91777777778
NA19146	6.11
HG00233	6.67472222222
NA12778	6.23916666667
NA11881	6.24944444444
HG00158	5.47333333333
HG00189	5.69694444444
NA12156	5.81277777778
HG00310	5.99027777778
NA20807	7.78527777778
NA19190	4.85416666667
NA19095_5	6.11388888889
NA19256	5.18055555556
HG00123	5.10611111111
HG00234	10.4711111111
NA19141	5.37638888889
NA18910_2	3.77361111111
NA12814	8.43472222222
NA19129_2	4.82277777778
NA19146_2	4.2625
HG00151	3.15527777778
HG00180	6.38083333333
HG00246	6.19222222222
HG00362	5.555
NA12750_2	3.38166666667
NA20809	4.58111111111
NA18870_2	3.94083333333
NA12234	6.32527777778
HG00365	12.1377777778
NA11894_2	2.48416666667
NA20524	7.07111111111
NA19108_2	5.71
NA12813	4.74305555556
HG00114_2	6.1875
HG00319	5.06861111111
NA12776	5.42805555556
NA12272_2	3.84333333333
NA12889_2	3.19555555556
NA19099_2	2.75694444444
HG00156	4.49722222222
NA19223	9.94111111111
NA12874_2	3.03
HG00187	7.7125
NA20589	5.295
NA12156_2	4.8025
NA18505_2	3.89694444444
NA18910	3.82138888889
HG00173	4.39611111111
NA19206	8.5
NA20786_2	3.04944444444
HG00264	4.35055555556
NA19098	6.715
NA19201	6.04027777778
HG00174	5.94194444444
HG00263	6.71694444444
NA19116	8.7775
NA20512_2	4.45111111111
NA19130_2	4.44194444444
NA18519	4.26944444444
NA19214_2	4.49388888889
HG00108	12.9125
NA20506	4.67861111111
HG00143_2	2.89583333333
NA18917	4.99222222222
NA20798	3.85361111111
NA19118	11.0447222222
HG00335	5.48583333333
NA20756_2	3.39666666667
NA18517	3.3875
NA20508	5.69527777778
NA18909_2	3.48611111111
HG00106	5.81805555556
NA11832_2	3.585
HG00349	4.31833333333
NA12843	4.33277777778
NA20527_4	3.38916666667
NA12347	6.90027777778
NA20796	9.30277777778
HG00101	5.62777777778
HG01790	2.49583333333
NA18498_2	3.58722222222
NA20527_3	6.48138888889
NA07048_2	4.245
NA12340	5.5225
NA18499	8.12166666667
HG00332	5.18277777778
NA19256_2	3.39361111111
NA12399_2	14.4161111111
NA18510	5.15361111111
HG00349_2	3.935
NA19172_2	4.54027777778
NA19096	4.47805555556
NA18873	5.56472222222
HG00134	7.70694444444
NA20810	7.69
NA11840	5.19166666667
NA07357_2	3.56805555556
HG00148	4.66944444444
NA11918	4.46416666667
NA12287	3.2175
HG00258	6.35138888889
NA19223_2	4.57055555556
NA19107_2	5.17388888889
NA20541	6.46055555556
NA19096_2	3.63722222222
HG00133	5.97083333333
NA12814_2	3.79583333333
NA20772	8.05138888889
HG00256	6.965
NA12155_2	3.86638888889
NA06986_7	5.25055555556
HG00141	6.91166666667
NA12761	5.79833333333
HG00117_2	4.74444444444
NA11994_2	4.1325
NA19248	5.1975
NA20819	5.58944444444
HG00372	5.70027777778
NA11832	8.26
NA18873_2	3.86833333333
NA19189	5.92027777778
NA20534	6.56722222222
HG00375	5.8575
HG00251	6.43166666667
HG00280	7.18111111111
HG00146	6.4275
HG00117_5	7.18222222222
HG00309	11.7925
HG00364	6.81166666667
NA18934	10.2969444444
NA19198	6.51944444444
NA20525	6.31916666667
NA19149	5.47111111111
NA12812	5.5
NA12777	4.24111111111
NA20532_2	5.0125
HG00157	7.42694444444
NA19222	6.54638888889
NA20588	7.23694444444
HG00186	3.73027777778
HG00240	7.18555555556
NA12815	6.97527777778
NA18868_2	3.95611111111
NA12006	5.2225
NA19225	5.24972222222
HG00150	5.45027777778
NA12249	5.37861111111
HG00142_2	4.85361111111
HG00181	5.03194444444
HG00247	4.63444444444
NA12348_2	2.925
NA18933	4.91916666667
NA20808	4.98333333333
NA19131_2	4.38638888889
NA20513_2	5.50833333333
HG00311	4.61555555556
NA19152_2	3.90833333333
NA18908_2	4.42694444444
NA20581	5.01305555556
HG00249	3.18388888889
NA20806	4.26888888889
NA07037	4.89916666667
NA19257	5.55805555556
HG00122	5.08111111111
NA19095_4	3.97027777778
NA11930_2	5.03111111111
HG00235	5.1525
NA20801	7.02888888889
HG00125	6.05416666667
NA19095_3	6.2525
NA19257_2	3.29916666667
NA19147	8.54916666667
HG00232	4.67833333333
HG00159	6.87666666667
HG00188	7.2725
NA20586	5.68472222222
HG00099	8.08222222222
NA19172	5.64111111111
HG00110	7.07527777778
NA18912_2	4.53111111111
NA11829_2	3.26388888889
HG00323	4.5325
NA12829	8.42194444444
NA18488	3.42305555556
NA12275	5.93861111111
HG00324	6.92722222222
HG00355_8	5.00055555556
NA12272	4.18833333333
NA18908	6.68777777778
NA20787	6.04666666667
HG00358	6.19
NA19222_2	4.26638888889
NA20756	5.41388888889
NA19175	5.55805555556
HG00117	9.87944444444
NA20519	7.08361111111
NA18508	5.76944444444
HG00355_6	5.67944444444
HG00272	5.47527777778
NA19107	6.52138888889
NA06994_2	3.02944444444
NA19210	3.70527777778
NA19198_2	3.80055555556
NA06984	5.45861111111
NA12154_2	3.67027777778
NA20758	7.31
HG00356	7.65222222222
NA20517	5.05527777778
NA11995_2	3.35777777778
HG00119	6.165
HG00380	3.95027777778
HG00351	4.59416666667
NA19144_2	5.49166666667
HG00097	9.03416666667
NA20510	3.71027777778
HG00137_2	5.65361111111
NA12827	3.58305555556
HG00275	5.26833333333
NA18486	9.43722222222
